Item,Type,Description,Product type,Main type,Items,Email (from Contacts) (from Customer) (from Orders) (from Items),Customers,Unit price,Picture,Weight (g),Material,Comment,Unit cost ¥,For sales,Costs proposed by suppliers
Glass - Tanteo Glass 750ml,Glass,Tanteo Glass 750ml,['Repeat order'],Glass,['reclNTumHVTHZPBhf'],,['rec4iLu5H0aNEdHuC'],0.86,"[{'id': 'attuaiEQDdNvpG5pK', 'width': 123, 'height': 184, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/V54XE3PVTMDDhUFIwp_JzQ/uQUP6tf7Dh_sd0aFapgNRVlWJgxufChc-fb-vXRlnvTpxn9PwgvgTxvrfAPbm4SYxud-h2hHhi7la5i5ThlAHt7_VVG4zZXBQQqwkvzgb4IsXAXaLaNboU8J6uO9ztgo/-jGC-crM5rAcXgHc3UEXFraA_Ma-iG6a9u7Y0qmxWhY', 'filename': 'bba9311f80b280a72b7bd6c83b5c82c.png', 'size': 6543, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/V-lIyddG9ee8Npm0N11LcQ/PiPQLofaaI1Ddc8bhATRIMG2l1BOs9kPCGDKkJbW-ESP1sDGpBl9bZfVG8p33PqC3XcotVe-mRucPUJSHzjIDg/x152ZK29DFzaqoMRcJnwM1OC1M2s-B7Yjc3MRZ7U7p4', 'width': 24, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/oMgHAe5WFoJTggpmuym6Dg/RoTqRYhTl7iDw4JR0rI7Dz8eI8phltmwmvGvj9SpIxxCUtyZZzCN8xSGMR0ftISau8xBUTP7dYwh-Wk3257uiA/FErEyoNW0H9IOzaKArw8inM1B2_K3YWIvw9jIrMovy0', 'width': 123, 'height': 184}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/02Y-Q-7insQ6c-mhpwBXJA/1g6UNW9yNWiB9R4dXg8PwWcXXjvNUUHqLChjxx-iZArh_AsPD0p1vna2DT65Hs2jouuDrh1EksSFiPg7OHlvfQ/CFWmK_LEKMAV5hyIi9kJ9eWRLJ6pPAbDFJ3sK5_ZQtM', 'width': 3000, 'height': 3000}}}]",867.0,glass,,4.27,,
Accessories - LOGIA Ceramic 700ml Matt Black- Double Sides Color,Accessories,LOGIA Ceramic 700ml Matt Black- Double Sides Color,['Repeat order'],Accessories,['recRPjgVClBvYARBx'],,['recTPTgCcQmd80v6C'],1.8,"[{'id': 'attFM87dbohryuEHg', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/pDPDNTRt6DuhRo6ak0Nz9w/wA7bwjn_enHe27vbA3bSsXGSER4cfzt9b5c7bPQDbbot8zh96NDrsdWsD97o0cl-GZO8-KeXBzaJBfnYFSoLJX0c3feiPuahtVK-z1MoqNakjJYS2X_0QJJb1FReMktU/rMjSw-U1NZu0NOJpQGNySzzf57s2Uv96JUOTcBgT7t0', 'filename': '8f23307ee879a1fd21b1cbf0b58aada.jpg', 'size': 395632, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/kO_AkYrNEvDBvfluQi58Fg/QWIfN2oMezQGfj8wPHhawMIkk4f54zGeENKVRTVPtQYfuuynOjfOdkolk31vGjM_bhKBQSUZaoptG7Qt8GY_kw/bZfuBMUYCWAAUSmhGDah_suvV8lrD7J5gxBj9P48078', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/1kGFfM8B6vAZZ187wFa_IQ/xVLE9l8Wo5-JsgUAQT7UUXbN9eiK9lNeKSpx25kiH1Emu3O5WeYBzXI3uLbPe6vubPJc_r4TfXj2s-QiGouw7w/kci2Dfe65pGQwFwjTYxcsZD19dAm5SlsESAEUu1Ujus', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/JPIkbzxmJWyVfOTp0AVmqA/olYuN3LE-rX2GAozj3tpaIzFYNZPdj4wuaMP3HTpYp4ENB1iXTRDyxF6q0ovEEUc0qCxsjBozON2tZoo7KbxIw/bkDZwUEC57kK9MWuKwbFfBbVKts-Lb1E7yGxW-c94qg', 'width': 3000, 'height': 3000}}}]",,Ceramic,,2.55,,
Perfume bottle - PERSIA 50ML TURQUOISE (green),Perfume bottle,PERSIA 50ML TURQUOISE (green),['Repeat order'],Glass,,,,0.276,,,,,,,
"Glass - Antigua
  Cruz 750ml",Glass,"Antigua
  Cruz 750ml",['Repeat order'],Glass,['reca0AvSbXQw6ntAj'],,,,,,,,,,
Perfume bottle - MANGO 50ML BLUE,Perfume bottle,MANGO 50ML BLUE,['Repeat order'],Glass,,,,0.24,,,,,,,
Glass - MEZCAL LOGIA 700ML,Glass,MEZCAL LOGIA 700ML,['Repeat order'],Glass,"['recHEBl8jc6yajdy7', 'recEqEXM1NuHdFmMd']",,,0.71,,,,,,,
Ceramic - TROO Ceramic Matt White 750ml with Silver Decal,Ceramic,TROO Ceramic Matt White 750ml with Silver Decal,['Repeat order'],Ceramic,['recGo3Ib4j6xrjO24'],[None],,4.13,"[{'id': 'attOQlKj3Qoofz9Qk', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/3Dvz4Pdk-26xmtUk9JYR6g/GzBuya-6drMd9HTFsYirt4DbgO9qR-zuLMvnqCxhPl0RrqJ-2CvucL569vsTIO9Ck5LAwVv64SwWDWxotJ_KOJBlX2dnKTD8eFqQ1Ct5-N9zEn4x3yfrrqsRRTi1-bO4/emo767RV1_r2fB9mJI8-ABLdzgB0f8-OUZZCfUgx9yY', 'filename': 'b7893a381a068fddb3b8f9844f36285.jpg', 'size': 267449, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MQzjERlNd_s6PaMBl4E7Jw/SDzvkduV8R6tYL0mqgAYEN3k1KLhZ6CQXGiOMOGCx7jr0HlIih4vcUOow80nasjpwnmTpDyLfUUxpfP4iLW_Mw/8KwN53-0f1I6G1R4eOBjKo9pX2hUgOlvlsZBVITVxzs', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YR4vM3n7rNmqncotn_loMA/how5vuR4PxPdHAF69PfgQ8g13ZKPBmobxPZR7rZeJJX0A8j9rp-lgjWQFl9UAvDRTHhdOVA1QIYqaB-KzbkOWQ/S8deeQhhpJuXKsjkG2_lkdATHZaVWRuAMQgRNWOXJ4A', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/D8GttSs_0JZZ8yeXsZ4ADQ/0wroYn60FE9fXOVuROEAT0pET14nR9VkpOi3bcCXs_Hr-au2Ly_im3hiVt6LGxlaxf0MhqOR3iNnIxk34ZklsQ/QHTBtgabwWLO5RLu5oC2K--ozjFcttxVHgJxjYazL7A', 'width': 3000, 'height': 3000}}}]",800.0,Ceramic,,17.05,,
Glass - JACOB'S PARDON 750ml bottle,Glass,JACOB'S PARDON 750ml bottle,,Glass,['recYNzq1XnWC8ftMS'],['DSINGH@palmbay.com'],['recF7msiygFvZpGCa'],0.0,"[{'id': 'attrANSY7vHhn4SAV', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/HIZXM-0E_ZbZegKWRB74kw/xNXLYKRb9ExaBwYpg5QPWo9tOtR1d8HQYXnSQwlvGSTbxDc6NCPB4WGDPqYWUTscwjQt8oFB722VRj7Jc4svQtAwnwe_dkrLZeSGpCxTDvhwY7xBIVToHhpODGnaBicSzd8-M6ATG3hcOughn1L_sw/xxq5DpIGu0SU0tSNPBE1p4O-eBBV7I92EFKb8eT4IIA', 'filename': 'glass weight is 550g with full capacity 784ml.jpg', 'size': 75263, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7mrbDKrKMCZiPh0MOO3E2Q/7we4ltkx6Q3tYFUZA3qR9TInQ-4bu04i2ozbCgo7f8blJ8ys46f5oelXQO33asz_3-cj-LUgHaI3R_XyG44SOg/XaWbTTx3lm06AOxnXC64eK3m9Bj51u9tIHoqgnTwzbc', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YhNUFKO8T914bP-L73iElQ/qFf1gGefCqF8cqC_Mzrqir1m0Xs4-DUDa3Q2UlQWfDyfcd7AGOPuNfLDlYYKNPExsY_V6ue1RSFnvV-Bymg87Q/wAwJVKIbnX9rKbtYpO1NM1gGl1FNqq4TfHg8YssCp68', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/6WnHVBQS-K5kEX6NcpE9aw/jUL8Bwtw_deI1k2OAJ7YS_EelWdSTmyEihLbMyCG3yQdm5c5cNmSD-rsmAID_X2uJZx-SHIuwlf33RaNn7Gv1g/V449NXyDtwinosd4dLhxP8_io-SeI4YQyy5IaKRkx00', 'width': 1280, 'height': 1706}}}]",,,,,,
Glass - Gun Powder Blue 500ml,Glass,Gun Powder Blue 500ml,,Glass,,,['recGTcKqeeoGfgBkP'],0.87,,,,"The unit cost including glass quality in super Flint, spray painted blue and pallet",4.18,,
Accessories - spray painted blue,Accessories,spray painted blue,,Accessories,"['rec14AMVamU3O9vrS', 'recsKCVruSudDPcrb']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,,,,,,,,
Glass - PRISMA WATER CLEAR 500ML,Glass,PRISMA WATER CLEAR 500ML,['Repeat order'],Glass,['recULU6gQKsMFlWnI'],['chaloxp@gmail.com'],,,,,,,,,
Packing - Pallet,Packing,Pallet,,,"['recuLSzTAqFNYRu66', 'recTxLYOYIot8RWM8', 'recSC9P5UmMhf8NlB', 'recC9A3D3dsJB3A2k', 'recz80vBcvOz3Cj2M', 'rechn7qut6qZ7ougE', 'recFaJBilz6XXpyc5', 'recXJ5Jw5Iunhm4Ch', 'recCk5JjVeE3Tu26D', 'recVQn3mS5P5QTTpz', 'rec6vE2JwJQ1OIwRA', 'recoAc7h1DR0xHrst', 'recmpNL5FAPqb1Kjs', 'recNHu8YcxMPQnqPn', 'rec75tZIhtcKlVOeo', 'recGNGxENGYdndaGu', 'recUCAL48MUrxvXh3', 'rec95iiDeUZaoMh2g']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'chaloxp@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'Bernard.booker2022@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'Craig@tequilamandala.com', 'Craig@tequilamandala.com', 'Craig@tequilamandala.com', 'Craig@tequilamandala.com', None, 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', None, 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', None, 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,25.0,,,,,,True,
Ceramic - LA Cofradia Handpainting 750ml coffee + cap+ plastic holder + cork,Ceramic,LA Cofradia Handpainting 750ml coffee + cap+ plastic holder + cork,['Repeat order'],Ceramic,['recj4GQwJmRtynFAZ'],[None],,9.82,"[{'id': 'attTExQyoIPYHij2q', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Mri0OTqTLoJBh2sVCbmd-A/N6BcjkVWWhpFCF7TTdjnykisfCa6GtngvbkaE-QkdSURfI5ctYQDMbOw-Sdcn6xMX8dZDazGecz84c3yF1xA49nFsBhjxL9gwDyDk8Qrsd7JzGqjaV1PBOXpztjHBZaL/NDpHbKuco2qTG8cT3jS2_3odo4OxGIBSUj_PVrykU-Q', 'filename': '677704b4b45876804c9e46832e22d8e.jpg', 'size': 498851, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/uocHCa1OPzuF9MgVIduwTA/qtH-q1tyV8GyMjnKx8Gz-0OPiRob3PRVZS6rw2ej7guy9TRFnbYZFZfhUpsdf_oXfIB-VCrUghmBJAxWMUjW8A/EtehSR2_4_w3cSYcCTK1A_W127IkOVgl7z8uXosm8qA', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/TxG0mLKYG-v5evTwf8kXFA/h_jijXwlwfqtCyCjIAqvK5XofH6_zeI5IZ8fYwjnHBwgXrQZ3KtITg5gDgIrAOM704UAIv6ifVYU4_cDrNZmPA/NwO2q8FIv2g_6wKrS_h5a9qCloiqRVJTei1lxME9KOU', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ryoTPjaEKdn2bACjm1UOWg/xY4bZbJpOfbFkxAuetjq8UsY9LZMKKVswOPzjO9Jjzz4C_JdDU3y8Ltsloe7TOleJ9Iki6ezHizbbAKT15RWQg/sbfjqqF5DYtDH2xWiS1L7hV21DAEKrONCWtYNrKv8s8', 'width': 3000, 'height': 3000}}}]",765.0,"ceramic, plastic",,41.8,,
Glass - 1L bottle Jane Co,Glass,1L bottle Jane Co,['Repeat order'],Glass,,,,0.66,,300.0,,,5.0,,"As of Aug 23 : 
SA : 4.9
SB : 5
SC : 5.3"
Glass - 750ml   Aman tequila  spray glass bottle ,Glass,750ml   Aman tequila  spray glass bottle ,['Repeat order'],Glass,,,,1.47,"[{'id': 'attNajnXhT4FFIOUp', 'width': 216, 'height': 517, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/BXLPo2Ecx11fIGdOnG1-VA/4lRbRXemYRv1uqyT8rj6NOprIzaIpK58yoXCblNsp8ue-Kx7etWmrfBUKGSitRe_mVUlWXoCmr1LN3N2QnFfuWUK5U2lLNXrt-35_QYk3Oc/H0xJR0oc25b8Hb0ztRQditBEDSDZZS_YJ1PJJuqI7iU', 'filename': 'Aman Tequlia .png', 'size': 68011, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/p8_Z8UGa8Gwg25cKHFpVmQ/OuX9H7C1idT7qxZSGao7h7veZAZto00UMJjjxOw1j0VslhKRq4FBWFxjRS1Ecws7Rov0DpCjhxe2rK2l5T7wcg/lddXBLCs3JAv_XQG06ZGF9pzAThKm9gAEPXpniyZczs', 'width': 15, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/3X278TEyM_eYsfjrG5Q_jQ/ONFmV9EcdICgKbwT0GlxV7HskUREENEi_niVGAGwkQXWyf7HjxlOBxFSk87pdtKL1sUIRecVgynRwRzwn9psWg/8AjrZYuiF-ZXy-00AUCANU3Yb6jMVeIft3yA8fFfu88', 'width': 216, 'height': 517}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/mXmuSsl0RSKaFltDLl6IFA/S9FuUcDRssr_R3V3Hxt13HFlX06QWW7F2sIDaVBVenFkpSNqnEaPgA92hRw5kbEiStVlAOkWoodQoyLA_kl8Ng/pdmSMSsogNXeAgaYkGcUznENhOulsu5eBd_YKcRMEvw', 'width': 3000, 'height': 3000}}}]",910.0,glass,,7.51,,
Accessories - Angry Dog Ceramic 750ml Wooden Cap+ Cork Blue,Accessories,Angry Dog Ceramic 750ml Wooden Cap+ Cork Blue,['Repeat order'],Accessories,['recLtWUoFYZrtxJjE'],['dairenort@gmail.com'],,0.4,"[{'id': 'attBzMNoUdi7Yhe9Q', 'width': 257, 'height': 175, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/DoTZinUwjv0q7qt7aXHsTA/l_RSOHTnTU9NH2q9pQPh-z5LWDrBW1RXZBknTPibIAkt8a-5BAhUvXCnwuC29OH6G-lYekO9w3JvrS-nMP4YNa__Cf4UUNlFph_LhoO3IEU/fq22gtkCMCtnWfgpeNnfDSv82MWhu5O4XkLp2l5Cav8', 'filename': 'image.png', 'size': 94715, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Ho4wPawSkCmJ-WpuRbeajQ/3Is11gzk1ZQlzy_twRuMiW29vVHoWPBcw7GFYBmLXLy5ToHHsebXNnb2DGPKSrE7Nc8u08NE-C2f8asQRosqKg/3iIVS_RNR4OtKEkGY7KxMSGqN2BnqipXk7nA6bEG-rA', 'width': 53, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/9__NMbgm1zf4U5rVT7zKZg/uqE5QebDTZJ4j9q61u9RBm_e_Q6F0WHrqbSvm5xK681qCRGb0wvdDwcOfTyYiQl7iorbmxYdmyJKX_MfVDpXPg/pUPDfadHtfp_k7hJtaYceMGRB_1Nbc6FjZIKqy1asKU', 'width': 257, 'height': 175}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/c6Xi148dgv0Ipb327Ka47Q/saFMp8K2hIPNxQN6MPpa64TeLqVtmQ71UbJGPuqoN6nigHRtzZkIrSNezuAKyvWlZfRRTSNW1lNMTFLYQBbR9g/5PPtqA8QG05SGkKkGhuZXstTFpJcGboF1qw2XGT7hOY', 'width': 3000, 'height': 3000}}}]",9.0,wood+cork,,1.85,,
Accessories - Paper labels 1L/750ml/50ml,Accessories,Paper labels 1L/750ml/50ml,,Accessories,"['recy4BbG41xsU4jDD', 'receqCUGmYSyeiYD4']","['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,8800.0,,,,,,,
Packing - Yamato 750ml Gift box,Packing,Yamato 750ml Gift box,['Repeat order'],,,,['recyN9PCcdYScELcF'],3.65,"[{'id': 'atttezVGtSJauUPxY', 'width': 167, 'height': 239, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/CsjLBYviodsV8pceLan8Zg/URkyPw5kb0CqRmFNO03woZmcBMhXTd0aP1adEB6jOSE0Uz4JETD9QKxB_CT1eAUNNTkF2Gzc5tA5f6yUSxl-Kr5gBke56O9bzoMAG7T5J1SUpV4DKjjINYFdsLEGjTU8/Ve8NeKz0WZgSMp_Rg0BsyxTnIMwKhokRNMYjt0o5SDM', 'filename': '853de1fa3f23a9f0f9af8b25ac3d6fa.png', 'size': 66556, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/PD-faVI9QUW36cze0hI9_A/j3d2ZvnJV6BMw2CBPR12Bc-nf43TsBEMPm38G_WLefOqQpuOjCI_900XZZRJP82ZZ41p3RfDxAAVUlQhSQqooQ/DpDpj59Xfdr5OJqaTcehJwknWkG6RZqqHQGmMe5i-GA', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/DlKYd1dVHvOILk0LsJDWqg/8551oVCRLVRCg0GHquPL-s0DKlp_uTsbXgxbSomaiPu8gvFNRP2OlPTxnMQFzYB_8-STpf8EWExkJYh5t7oabQ/-Kk5qTy7tdyZGmpnvu6gfNt-HvIyZiequQWJKKgGOOA', 'width': 167, 'height': 239}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Sins6BsUAMpRFZdPEA5_MQ/ETN_ln1BtYZuTbefK3pOPV9co1CiKLLUzfAd9XkFu99nmfzm8H2pq9KgpYF1dDfl-Q4KeUz3iN6O6zEc46_HRQ/oJGuZ8rEtjiU-JcWuY6iRvDXVshOrtp9E8lWMiIuuEE', 'width': 3000, 'height': 3000}}}]",,Paper,,15.9,,
Ceramic - SKORPIOS Ceramic 750ml Red,Ceramic,SKORPIOS Ceramic 750ml Red,['Repeat order'],Ceramic,['recVfILqMA1zwoHvC'],['mina@dragoscantina.com'],['rec2xxD7bRWqCORAE'],4.26,"[{'id': 'attY7iWfQNHTx1a1e', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/xKLly14OSkY_81e8xJ7wQw/Zn7TJDxD6Lm5sxIXQkKYBE6tlu8J7u8uoano3O01HPmIJxe0WsJXnzs-Qi6mtF-bRftvungc6ldCQUV52kSkSKHes7We4BcSFticsHFiJNttnLeT87LNp2JjMo8Myw88/OfJeMjExHEReHzjv06MbkQYtxDwFPlC58vd-VszctG4', 'filename': '17c06562c57e4f4b703c9a3e8ed706b.jpg', 'size': 544219, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/RylseZpCco-8BG1vgi6R2Q/IZaemv3jNLPP6x-IAqStFqsP0Y6LMpIEe6UJHw_nfFuqq85OaFvd28uyPo6lG_Navopc072Ul3ZOsqndTtR7Fg/7qFYFI7U0cqEHza4QyhD3HqAh8KNPbaY0E1NkhHgjAQ', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/HXyKjOzig8XjRG_HaJT-XA/S3LwihhwnThtHW2WHiYOHaHijJ8lmAtrK4JeEBDpzfNHxCSoc-LasPa_TN8j2S9yfSjmHpOJJ0_WGlYcsbfzIQ/gMFyHn7jjXfwqcePjdQUORULtg8wEyA0zG_mF9yIA2g', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/xbPnPGbUkDMqOMN--0nNMg/2IaWHWQBZNsOZRj_Bo4rauD5xKPR-5CHUANTCE6uKHhOtbUWRly-3d6lDOQDzomqIqKLb4IbQRIg2DGcxZhl3A/3mdyUR7MqQRUrMNDnt5Gs077p2cd-f9c5fdh4pOlrdI', 'width': 3000, 'height': 3000}}}]",,Ceramic,,17.6,,
Glass - Mixteco 1L ,Glass,Mixteco 1L ,,Glass,['recge8zRNeLb6wKEJ'],,['rec9OJfro7ubRQ6u8'],0.48,"[{'id': 'attVLVnH2ouMrxMW3', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/uxsNpYvApoi9JD4CdLNuog/25zu8HgSYl5I5-PYGmkq27hxaW5J4yePuH2GHVcB9jfBD7eYWu6pMgLfWZz7ZMOeSeqnXTk4dCaoKidpH00xaPePWW7HrN35JDzk8eOJNBc/Y3Lx2zpUV4eE5l5QPT-xS30jHZi0tNpyQc40ibKOovY', 'filename': '1L bottle.jpg', 'size': 182968, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/4cFkf9Ac168Rmtj7sgiopg/ky5VKjK0pUm6xofPy2nI48lEVrmhD72a1IJ5KdE-q9zuPFwMD_nHW6TGmyID2-yayo4PjzoilSmSK3OtEKQvbQ/b9WyeEpqkNFdNCDfIzXNTQ5GrSv63xzeS2VoZPIpyQU', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/TxBK-dP57EJ-C6tfbyICyA/mV2jRpF0St27Jj28SjluhVOZQDW94htHBDvRMiMixD_MIN7S3j5V8j_uRasP5Af5Xe_Pjyn9xvmFze4-I9I01g/6IRG6TPCiyf88Pq9Dzk_d7h8LXm1sDfBGOR41QQ7tc4', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/NwdSXqvuKMJTuZxEjHNSjg/jJTMxeu6BGDBaXFn39AZ4rpViYAnMOAeTmKyOficXYH1DJWXLRfvQeTXPaTe_CW9EJNhfDsfzOUQ57zqMl19UA/AcwG5g39JgysdA6zjM1x5dy09BB1N8CG6MHLUtB2ThY', 'width': 3000, 'height': 3000}}}]",700.0,flint,,1.91,,
Glass - MacAulish 750ml glass bottle ,Glass,MacAulish 750ml glass bottle ,['Repeat order'],Glass,['recv4NXTEGOgJFZvF'],,['recyN9PCcdYScELcF'],1.1,"[{'id': 'att0OlnRcMtr8xqBM', 'width': 356, 'height': 866, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/mWY4RsQqn2_i2FCFOhNh0A/cvQ-jIXIUObFh7nMf5ThdD2rmXrBdCSFoq_VPj1SodoBBzWAKyVKzDsGM1WXOv93vsrR6qJ_cLNA-B1GPZvwn1IbU_NfmfQh17Un4wdigfuvHtXAKix9qCoMaz_hPcWX/nBehROyCiAvIslCHUULUS4Io6DwBGxtXMz9186doXP4', 'filename': '42b4e862b76e83c1f914eab6d188000.png', 'size': 381202, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/4F65CIBMv3E05bslmce6UQ/lxE1rCnWHyWpDHHhYkT9W72UNWYe7jMJCgEWj9qDhg7leLGd8oCbk5wOLtmW8D4y54tbh6r4WuNa9kAHoeF2ng/sdNvcL7UuIPN3C7g7-xCEjmOjLP3R3-OAxvpNgzk4fU', 'width': 15, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/5P3AKSPcdFnrz4n0LexSkg/JJL-UdAAEHoPQVqwsF962VrkJTk3Y3wcsZGPIOp4pwmjK-T4sUNE2s9Ti60WguQI1lESAPdyPC05LHmz-NPw1Q/EMxHkOxQ7as_24w5H_oFJ2PVDSi0_2gY8XfUi3DNhlQ', 'width': 356, 'height': 866}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/AKxzXJnfCJreV-gBQeqqhg/R21x6Jb-kSSpE7AoTf01j7zH4VaKcOzKpIDVjZJbFNvww1KmxTnisKjkohHvJgt6PuRP350cnjIL7P9BJPH5SQ/6oScOUF1IiQ8g-Lp1Az05JuOmluxnyUITuCNz_ZjCDU', 'width': 3000, 'height': 3000}}}]",778.0,glass,,5.3,,
